0.002,0.013,0.092,0.606,2.523,4.414,4.912,4.988,4.998
0.002,0.013,0.096,0.629,2.577,4.436,4.915,4.988,4.998
0.002,0.014,0.101,0.658,2.642,4.461,4.92,4.989,4.999
0.001,0.009,0.069,0.465,2.157,4.243,4.882,4.984,4.998
0.002,0.017,0.123,0.784,2.894,4.552,4.934,4.991,4.999
0.003,0.019,0.14,0.88,3.06,4.605,4.943,4.992,4.999
0.002,0.016,0.115,0.741,2.812,4.524,4.93,4.99,4.999
0.002,0.018,0.127,0.805,2.932,4.564,4.936,4.991,4.999
0.002,0.017,0.126,0.803,2.928,4.563,4.936,4.991,4.999
0.002,0.016,0.117,0.755,2.839,4.533,4.931,4.991,4.999
0.003,0.019,0.134,0.848,3.007,4.588,4.94,4.992,4.999
0.002,0.017,0.12,0.77,2.868,4.543,4.933,4.991,4.999
0.003,0.019,0.139,0.875,3.052,4.602,4.942,4.992,4.999
0.004,0.026,0.186,1.109,3.39,4.698,4.957,4.994,4.999
0.003,0.023,0.165,1.005,3.251,4.661,4.951,4.993,4.999
0.003,0.025,0.179,1.077,3.349,4.687,4.955,4.994,4.999
0.003,0.024,0.17,1.03,3.286,4.67,4.953,4.994,4.999
0.003,0.022,0.158,0.971,3.203,4.647,4.949,4.993,4.999
0.003,0.024,0.174,1.051,3.314,4.678,4.954,4.994,4.999
0.003,0.025,0.179,1.078,3.351,4.688,4.955,4.994,4.999
0.004,0.029,0.206,1.205,3.505,4.727,4.961,4.995,4.999
0.004,0.027,0.193,1.145,3.435,4.71,4.959,4.994,4.999
0.003,0.025,0.18,1.082,3.355,4.689,4.956,4.994,4.999
0.004,0.03,0.214,1.242,3.547,4.737,4.963,4.995,4.999
0.003,0.024,0.172,1.042,3.302,4.675,4.953,4.994,4.999
0.003,0.022,0.159,0.977,3.211,4.65,4.95,4.993,4.999
0.003,0.02,0.145,0.905,3.101,4.617,4.945,4.992,4.999
0.003,0.019,0.135,0.853,3.016,4.591,4.94,4.992,4.999
0.002,0.014,0.1,0.652,2.629,4.456,4.919,4.989,4.998
0.002,0.012,0.085,0.567,2.428,4.373,4.905,4.987,4.998
